wallet,amount
0xb9196916c26229243D04Ed89bED9650D379f4D20,3355379802000000000000
0x0C484118a6e8037A2Ef4C035e89B91c8f9B6E73a,40000000000000000000000
0x9D6225540BefBFC1451f50cf5Abb090F3b06b056,4294408242000000000000
0x87222A4FA549cf2Dd09669285873C3D39b51A116,1679000000000000000000
0x33927eD68c3853d193EdcF6Ab0F7732A61533B76,175000000000000000000
0xb67E38E263F2dd986652780886b64D3e96C6bdB5,28087831231000000000000
0xFd9Bf987d5E763A9208F5746797e4c0450727f4d,7331480454000000000000
0xB0382c86cbe0Df3aCC98cA9f36D450Cb654c3031,5573025362000000000000
0xeD890f53CD422C46fEa6d6a2d6f6bf0B9c71b1d3,4724079464000000000000
0x01c63B23B32F7FD5fa10E9c90c5534042B889CC4,7847322150000000000000
0x5a4D658cc80b54ab604b150F21A557826634F513,1000000000000000000000
0x07eE072708Dd69cc43069eF06612E3D4D240a706,1987259259000000000000
0x3065B837cBfCFe6C30ff54061d0f65e53c78B1fA,1600000000000000000000
0x4b83029dca8a8B962b11D906F45054A7898C41a1,2123111111000000000000
0x87ebD99D22d28C063BF01c9d3d2BDac39892cC6d,1000211769000000000000
0xfD99ABd29e2B6979E3bE772b18d4bcF08Df60161,1017422927000000000000
0x2a75E1b1299Ad50c584377EDF02C08736E8170Cb,13479311537000000000000
0xe17d647d2c1f7d8b5A64445661d19d3e555dfc4F,3496977349000000000000
0xCbe5d4A5EdEBD6CBCDc073786cc70d6105Ce505C,1039913506000000000000
0x4e6c82E9a930285f5AfdfD664d3605fBed4B873D,1000000000000000000000
0xee2D5D847FdF5238FC63980Ce3cB4EcBE713C46f,1139651821000000000000
0x10f6aA432089301A02870363B9B27926BaEC64F2,4103890069000000000000
0xE794c614F3b5f50CcCb784e71C22f57934083178,12020225229000000000000
0x2Ab9f0f9e48728ccebcB249401BfB5808BE670cf,2185753660000000000000
0xd87003e5C35C7aDF2f3e8622217A40068A97C063,6099649243000000000000
0x010c3e12612aB10568a0F8447aE08ae4E90760b9,6000000000000000000000
0x925e969E1FF287e6df72d678Ee5C8908050e3C37,1371677282000000000000
0x3D8A11b4ff141514A656E1C9e9200cEC7080f956,13077124292000000000000
0x53131749f52C2E546e89c4f9BfE31088e5566010,30195671000000000000
0x22c42a8b5Abf2d69c2732693860078E61Ac3D241,92000000000000000000000
0x65033E62A55b2121F269e32Ec836c2F73183e9aa,780823711000000000000
0xE19cA478A0aA0670Ee4C80d856ac10ADF8CAF449,700371796000000000000
0xbB2bf6c0847851a28Bd1236DBEf3c9d12726bd36,1011704078000000000000
0x0814b15F80E5255C9443C6cFfa1Ee8F5F0022837,10000000000000000000000
0x6c5aB76eaB6C641c5988D035A8239c6E7b451ac2,1000000000000000000000
0x501ed674DCfB19471fD8ef70Da84C7e3127bB3B4,8241328063000000000000
0xFdF7Ca300104fc1B3ece78047aa8AbC2Ca931520,3425604972000000000000
0x83cB93C184cD8AA570B06fBfbA50DCAB208C4b9c,6569258114000000000000
0x6D837f396dc367F3A0cf7691D3687EE0213780a8,3269690000000000000000
0xc68975C2d2255907E60ae0C6FcF0B508F2D93b26,59000000000000000000000
0xc2EE369a39F8E71354dA3CFe7700CEEda2139171,1234000000000000000000
0xC91b3Ed15F1CA28954e972e776fbfDF509bB9901,1337332417000000000000
0x101825789a05703Ad4Bab01b83e8562D42923e16,1031046396000000000000
0xE281225e39A6FF97F61801D57364Ca1D9De4f302,28699990000000000000000
0x9a8b9c0D0B4616471A527E63C517d61B6fc543B3,17036340000000000000000
0xB625652e5D36AF947B28b222383A2C975efe94e0,1500000000000000000000
0xb360d17A4f95711Bc1206C11912C432905CdFc13,175000000000000000000
0x92Db7E8d9B281c9470749a83eeB51DE21Ff6DDe6,175000000000000000000
0x392A9C7583d644F4f2235653850191a27A5728e9,1001712769000000000000
0xc2624c2926B24fDEb702E4488e6925a30ba75EF7,2823525505000000000000
0x662deCcbc86b30D846E251cCde1A72C1f80483Cd,175000000000000000000
0xd23c6c0ddb67bBFA8765b4707C0270E851586B3f,299143412000000000000
0xEfe09Fe6d424494d4b8E652Af3726b24087C1F07,1788039417000000000000
0xc72c4C4Bc16025078C5c30af1770428ff64b3F8c,1412656118000000000000
0xF7D8A0a27D0C99A3B906E489cdEc74813d168b78,1498955986000000000000
0xE834b1BD4d804830DeDB39938a0f71dfF12E2EB7,25000000000000000000000
0x9bA4C6e0594118bA0B9DfF300FaE795Bb1037311,32410888888000000000000
0x755DAE776c732dC607a0911b9Fed7eF3d4a52D47,24215504629000000000000
0xC0571b2Cc9B21feFC1460851Ab78550D06402bB6,1500000000000000000000
0x5Ac0a593A5039450B164571245f836286c55bc4b,7028348821000000000000
0x7178Aa4278aCDac0677B93113cFC541ACc7f130f,175000000000000000000
0xE23cedb51FAF24F83a9044e81019ad9270A5ca26,1021525502000000000000
0xD416b218B27b237210f444C44b025bC68d0B0c76,17881572502000000000000
0x09C624d5271A1f7e6A2588e778a4d48bb90A6952,7477130426000000000000
0x29Ee364D9438Dc5B63f289dA5B762Daf99215E03,1064000000000000000000
0x91B58C5081d5B00b34C834948bCB77E554e6970B,1027820884000000000000
0x522673B669AC8efcAd6d22A9999E6C55Cc8ED9D6,4900000000000000000000
0x1c44a969f38EC7000570fF6bffF5DCbe7C14Ec9e,1002548910000000000000
0xD7A3199685338DACf8A392bb794731cD564546BE,2000000000000000000000
0x1d47E9b1DCe2BE7e17e2Ca6C70F19F6d17A53e71,1690000000000000000000
0x5d28223916F70c8F5eD84101992ea1dc607D7F97,1015161833000000000000
0x83ACD3bA8eF0aaDbECA0409B2486440C35892DB4,5072114388000000000000
0x7c5f0182400DD2edAebDa38F0574ed55E6F0e77B,1353986709000000000000
0xaB7A4A31Fe1586C9098504Ca59b27BF17B3CEEDc,1000000000000000000000
0x3a6906c3e58aD1cE84d5e9af499fACe7Ac3898CD,1000000000000000000000
0x1BDF66Ff1132009934bca19075a69A1caBdB92D0,1000905212000000000000
0x39A59a747dAEdb86fA31f314f4b59cC9f1D0BfE6,10420609349000000000000
0x0e9A3783b52F0da68edc33BC5E1D9Fa1759fc8E0,1016532940000000000000
0x782c0364C6eDDA793245481D84Dcf505D26b3c22,30474766531000000000000
0xF62b618eBC24d9f7282453EF88da09C0F417CcfC,2093936778000000000000
0x2FfE0d017D552c9CF94ca735641187e2F90631EF,2000008487000000000000
0xBCeb6a9A3FfAe9cc4695f40fA614dEe19Ed041eC,10000000000000000000000
0x58Da44D40f060928977ecB68C2fF64d48E5C17D9,1137500000000000000000
0xA1604b62801f63f4A18Ad58C599D1416aC63c957,1001500340000000000000
0xFe1FABabA78aaa353b7507902E41c50b6c0D5484,2000000000000000000000
0x3189b3f39bc8ba90553b9a7f48ad0bB4532d2Fb6,1734572044000000000000
0x8A289ccfac2c6019418977E88636d16b52DE321e,1000000000000000000000
